.i 83
1------------001101------------------------------------011------------------------- 0000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000
1------------001101------------------------------------101------------------------- 0000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000
1------------001101------------------------------------111------------------------- 0000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000
1------------011101------------------------------------001------------------------- 0000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000
1------------011101------------------------------------011------------------------- 0000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000
1------------011101------------------------------------101------------------------- 0000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000
1------------011101------------------------------------111------------------------- 0000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000
------11-1-01--------------------------------------------------------------10001--- 0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000
------11-1-01--------------------------------------------------------------00101--- 0000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000
------11-1-01--------------------------------------------------------------01001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
1-----0000111-------------01------------------------------------------------------- 0000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000
------11-1-01--------------------------------------------------------------10101--- 0000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000
------11-1-01--------------------------------------------------------------01101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000
------11-1-01--------------------------------------------------------------11001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100
------1-01-01--------------------------------------------------------------10001--- 0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000
------1-01-01--------------------------------------------------------------00101--- 0000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000
------11-1-01--------------------------------------------------------------11101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
------1-01-01--------------------------------------------------------------01001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
------1-01-01--------------------------------------------------------------10101--- 0000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000
------1-01-01--------------------------------------------------------------01101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000
------1-01-01--------------------------------------------------------------11001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100
------1-01-01--------------------------------------------------------------11101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
101001000--1----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000
-----------------------------110011-010-------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
1----00000111------------1--------------------------------------------------------- 0000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000
1---1-0000111------------1--------------------------------------------------------- 0000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000
111001000--1----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000
100001000--1----------------------------------------------------------------------- 1000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000
-----------------------------01-1011010-------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
101101000--1----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000
111101000--1----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000
-----------------------------001011-010-------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
-----------------------------0111010-11-------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
---------------------------------------------------1-10----011001------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------11-0----011001------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------111-----011001------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
1--1--0000111------------1--------------------------------------------------------- 0000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000
11----0000111------------1--------------------------------------------------------- 0000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000
-----------------------------011101011--------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
1-1---0000111------------1--------------------------------------------------------- 0000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000
110001000--1----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000
100101000--1----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000
----------------------------00011010-1--------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
110101000--1----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000
1010011-01-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000
1110011-01-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000
1000011-01-0----------------------------------------------------------------------- 1000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000
1011011-01-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000
1111011-01-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000
1100011-01-0----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000
1001011-01-0----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000
1101011-01-0----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000
--------------------------------0--0---0000001------------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
-------------------------------1-----0-0000001------------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
-------------------------------00------0000001------------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
----------------------------------0----00000001------------------------------------ 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
---------------------------------1-----00000001------------------------------------ 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
1------------010001-------------------------------------------------------------1-1 0000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
------11--0-1--------------------------------------------------------------10001--- 0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000
------11--0-1--------------------------------------------------------------00101--- 0000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000
------11--0-1--------------------------------------------------------------01001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
------11--0-1--------------------------------------------------------------10101--- 0000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000
------11--0-1--------------------------------------------------------------01101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000
------11--0-1--------------------------------------------------------------11001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100
------11--0-1--------------------------------------------------------------11101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
-----------------------------1100111-1--------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
----------------------------0-0-011-010-------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
----------------------------0--0011-010-------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
-----------------------------------------------------01---0-01001------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
----------------------------------------------------0-1---0-01001------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
----------------------------------------------------00----0-01001------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------111-----011-10------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------1100----011--0------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------1010----011--0------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------111------11010------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
-----------------------------0010111-1--------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
---------------------------------------------------1100-----110-0------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------1010-----110-0------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
10100111---0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000
11100111---0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000
10000111---0----------------------------------------------------------------------- 1000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000
10110111---0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000
11110111---0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000
11000111---0----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000
10010111---0----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000
11010111---0----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000
----------------------------------0----0000001------------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
---------------------------------1-----0000001------------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
---------0-11--------------------------------------------------------------10001--- 0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000
---------0-11--------------------------------------------------------------00101--- 0000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000
---------0-11--------------------------------------------------------------01001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
---------0-11--------------------------------------------------------------10101--- 0000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000
---------0-11--------------------------------------------------------------01101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000
---------0-11--------------------------------------------------------------11001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100
---------0-11--------------------------------------------------------------11101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
1------------0-0001-------------------------------------------------------------01- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
1------------0-0001-------------------------------------------------------------11- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000
--------0-0-1--------------------------------------------------------------10001--- 0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000
--------0-0-1--------------------------------------------------------------00101--- 0000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000
--------0-0-1--------------------------------------------------------------01001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
---------10-1--------------------------------------------------------------10001--- 0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000
---------10-1--------------------------------------------------------------00101--- 0000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000
---------10-1--------------------------------------------------------------01001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
--------0-0-1--------------------------------------------------------------10101--- 0000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000
--------0-0-1--------------------------------------------------------------01101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000
--------0-0-1--------------------------------------------------------------11001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100
---------10-1--------------------------------------------------------------10101--- 0000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000
---------10-1--------------------------------------------------------------01101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000
---------10-1--------------------------------------------------------------11001--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100
--------0-0-1--------------------------------------------------------------11101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
1------------101-000--------------------------------------------------------------- 0010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------10-1--------------------------------------------------------------11101--- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
1------------0001100--------------------------------------------------------------- 0000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1------------010001--------------------------------------------------------------1- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000
1------------0111100--------------------------------------------------------------- 0000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1-------------0010100-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000
1-------------1100100-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000
101001---0-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000
111001---0-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000
101101---0-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000
111101---0-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000
----------------------------------------------------------0101001------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
----------------------------0000101------------------------------------------------ 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000
----------------------------0-0-0111-1--------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
---------------------------------------------------0------0-01001------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
----------------------------0--00111-1--------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
110001---0-0----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000
100101---0-0----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000
----------------------------0-01011--1--------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000
---------------------------------------------------100-----01--00------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
-----------------------------001011--1--------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000
-------------------------------0101-010-------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
110101---0-0----------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000
---------------------------------------------------100------1-000------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------111------01-00------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
1-----11-1-01-------------01------------------------------------------------------- 0000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000
1-----1-01-01-------------01------------------------------------------------------- 0000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000
1----011-1-01------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1---1-11-1-01------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1----01-01-01------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1---1-1-01-01------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1-1---11-1-01------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
-00001---0-0----------------------------------------------------------------------- 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1-1---1-01-01------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1------------01011-0--------------------------------------------------------------- 0000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1------------101000---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000
1-------------011100--------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1-------------010-000-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000
1------------01011--0-------------------------------------------------------------- 0000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000
1------------000--100-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000
1------------111001---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000
1------------0-10-000-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000
1------------000111---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000
101001------0---------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000
111001------0---------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000
1------------001001---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000
1-------------00101-0-------------------------------------------------------------- 0000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
1------------011001---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000
101101------0---------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000
1-------------11001-0-------------------------------------------------------------- 0000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
111101------0---------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000
110001------0---------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000
100101------0---------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000
110101------0---------------------------------------------------------------------- 0000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000
101001----0------------------------------------------------------------------------ 0000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000
111001----0------------------------------------------------------------------------ 0000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000
100001----0------------------------------------------------------------------------ 1000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000
1------------010101---------------------------------------------------------------- 0000010000000000010000100000000000000000000000000000000000000010000000000000001001000000000000
1------010-0----------------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000
101101----0------------------------------------------------------------------------ 0000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000
111101----0------------------------------------------------------------------------ 0000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000
110001----0------------------------------------------------------------------------ 0000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000
100101----0------------------------------------------------------------------------ 0000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000
110101----0------------------------------------------------------------------------ 0000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000
---------------------------------------------------0--0----01--00------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
----------------------------------------------------00------01-10------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
----------------------------------------------------101-----01--0------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
----------------------------------------------------011-----01--0------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
----------------------------------------------------------1-11001------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------0--0-----1-000------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
-------------------------------01011-1--------------------------------------------- 0000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
1-----11--0-1-------------01------------------------------------------------------- 0000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000
1--1--11--0-1------------1--------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
11----11--0-1------------1--------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
1----011--0-1------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
1---1-11--0-1------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
-00001------0---------------------------------------------------------------------- 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
---------------------------------------100000-------------------------------------- 0000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000
1-1---11--0-1------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
------101000----------------------------------------------------------------------- 0000000000000000000000000000000010100000000000010000000000000000000000000000000000000000000000
-------110011---------------------------------------------------------------------- 0000000000000001000000000000000010100000000000000000000000000000000000000000000000000000000000
1------------1--0110--------------------------------------------------------------- 0000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
-------001011---------------------------------------------------------------------- 0000000000000001000000000000000010100000000000000000000000000000000000000000000000000000000000
1------------0-0110---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000
1------------1--1110--------------------------------------------------------------- 0000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1-------------1-0110--------------------------------------------------------------- 0000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1---------------01000-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000
1------------11-000---------------------------------------------------------------- 0000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000
1-------------01110---------------------------------------------------------------- 0000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000
1--------------10110--------------------------------------------------------------- 0000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1------------00-110---------------------------------------------------------------- 0000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000
1------------1--100-0-------------------------------------------------------------- 0000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000
1--------------11110--------------------------------------------------------------- 0000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1------------1-0110---------------------------------------------------------------- 0000010000000000000000000000010000000000000000000000000000000000100000000000000000000000000000
1------------11-110---------------------------------------------------------------- 0000010000000000000000000000010000000000000000000000000000000000100000000000000000000000000000
1------------1--011-0-------------------------------------------------------------- 0000000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000
1------------000--1-0-------------------------------------------------------------- 0000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000
1------------0-10-0-0-------------------------------------------------------------- 0000000000000010000001000000000000000000000000100000000000000000000000000000000000000000000000
1-------------1-111-0-------------------------------------------------------------- 0000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000
1------------0---0100-------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000
1-------------011-0-0-------------------------------------------------------------- 0000000000000010000000000000000000000000000000100100100000000000000000000000000000000000000000
1-------------1-011-0-------------------------------------------------------------- 0000000000000100000000000000000000000000000000000100100000000000000000000000000000000000000000
1------------1-1101---------------------------------------------------------------- 0000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000
1--------------1111-0-------------------------------------------------------------- 0000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000
1--------------1011-0-------------------------------------------------------------- 0000000000000100000000000000000000000000000000000100100000000000000000000000000000000000000000
1------------110-01---------------------------------------------------------------- 0000010000000000010000100000010000000000000000000000000000000010100000000000000001000000000000
1------------10-001---------------------------------------------------------------- 0000010000000000010000100000010000000000000000000000000000000010100000000000000001000000000000
1------------0-0001---------------------------------------------------------------- 0000010000000000010000100000010100000000000000000000000000000010000000000000000000000000000000
1-------------00101---------------------------------------------------------------- 0000010000000000010000100000010000000000000000000000000000000010000000000000000001000000000000
1---------011-------------01------------------------------------------------------- 0000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000
1-------0-0-1-------------01------------------------------------------------------- 0000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000
1--------10-1-------------01------------------------------------------------------- 0000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000
-----------------------------------------------------------10-100------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
-----------------------------------------------------------1011-0------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
-----------------------------------------------------------010-00------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------0--------01-10------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
---------------------------------------------------0--1-----01--0------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
------------------------------------------------------------10000------------------ 0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000
1--1------011------------1--------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
11--------011------------1--------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
1--1-----1-01------------1--------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
11-------1-01------------1--------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
1--1----0-0-1------------1--------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
11------0-0-1------------1--------------------------------------------------------- 0000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000
1----0----011------------1--------------------------------------------------------- 0000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000
